Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49
815,value1,value1513,Web,complete,insertValue,2019-03-05T22:29:09.694+11:00,code,29,Web,complete,insertValue,2019-03-05T22:29:24.002+11:00,B6,Web,complete,clickButton,2019-03-05T22:29:32.985+11:00,Web,complete,goToUrl,2019-03-05T22:29:37.011+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:29:40.629+11:00,code,29,Web,complete,copy,2019-03-05T22:29:44.942+11:00,paste,B,name,29,Excel,1399,complete,2019-03-05T22:29:48.166+11:00,cancel,Web,complete,clickButton,2019-03-05T22:29:52.517+11:00,OK,Web
816,value1,value949,Web,complete,insertValue,2019-03-05T22:30:05.384+11:00,code,22,Web,complete,insertValue,2019-03-05T22:30:16.630+11:00,B7,Web,complete,clickButton,2019-03-05T22:30:21.323+11:00,open,Web,complete,clickButton,2019-03-05T22:30:24.599+11:00,code,22,Web,complete,copy,2019-03-05T22:30:27.808+11:00,paste,B,name,22,Excel,1205,complete,2019-03-05T22:30:32.039+11:00,Web,complete,goToUrl,2019-03-05T22:30:34.476+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T22:30:40.159+11:00,,
817,value1,value1353,Web,complete,insertValue,2019-03-05T22:30:50.159+11:00,code,23,Web,complete,insertValue,2019-03-05T22:30:55.733+11:00,B6,Web,complete,clickButton,2019-03-05T22:31:07.333+11:00,open,Web,complete,clickButton,2019-03-05T22:31:10.575+11:00,code,23,Web,complete,copy,2019-03-05T22:31:13.419+11:00,paste,B,name,23,Excel,1807,complete,2019-03-05T22:31:18.562+11:00,cancel,Web,complete,clickButton,2019-03-05T22:31:21.873+11:00,OK,Web,complete,clickButton,2019-03-05T22:31:25.475+11:00,,
818,value1,value1898,Web,complete,insertValue,2019-03-05T22:31:35.475+11:00,code,28,Web,complete,insertValue,2019-03-05T22:31:42.303+11:00,B6,Web,complete,clickButton,2019-03-05T22:31:49.929+11:00,open,Web,complete,clickButton,2019-03-05T22:31:52.714+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:31:56.421+11:00,data123.xls,code,28,Web,complete,copy,2019-03-05T22:31:59.815+11:00,paste,B,name,28,Excel,1342,complete,2019-03-05T22:32:02.481+11:00,Web,complete,goToUrl,2019-03-05T22:32:05.465+11:00,www.webpage.com,OK
819,value1,value614,Web,complete,insertValue,2019-03-05T22:32:31.343+11:00,code,23,Web,complete,insertValue,2019-03-05T22:32:32.689+11:00,B7,Web,complete,clickButton,2019-03-05T22:32:41.832+11:00,Web,complete,goToUrl,2019-03-05T22:32:44.570+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:32:50.247+11:00,code,23,Web,complete,copy,2019-03-05T22:32:54.957+11:00,paste,B,name,23,Excel,126,complete,2019-03-05T22:32:57.010+11:00,cancel,Web,complete,clickButton,2019-03-05T22:33:00.768+11:00,OK,Web
820,value1,value742,Web,complete,insertValue,2019-03-05T22:33:13.238+11:00,code,22,Web,complete,insertValue,2019-03-05T22:33:27.437+11:00,B7,Web,complete,clickButton,2019-03-05T22:33:42.014+11:00,Web,complete,goToUrl,2019-03-05T22:33:45.487+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:33:52.119+11:00,code,22,Web,complete,copy,2019-03-05T22:33:56.033+11:00,paste,B,name,22,Excel,554,complete,2019-03-05T22:33:59.647+11:00,Web,complete,goToUrl,2019-03-05T22:34:03.588+11:00,www.webpage.com,OK,Web
821,value1,value1550,Web,complete,insertValue,2019-03-05T22:34:22.524+11:00,code,28,Web,complete,insertValue,2019-03-05T22:34:31.331+11:00,B6,Web,complete,clickButton,2019-03-05T22:34:35.570+11:00,open,Web,complete,clickButton,2019-03-05T22:34:38.058+11:00,code,28,Web,complete,copy,2019-03-05T22:34:42.082+11:00,paste,B,name,28,Excel,299,complete,2019-03-05T22:34:44.021+11:00,Web,complete,goToUrl,2019-03-05T22:34:46.046+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T22:34:54.988+11:00,,
822,value1,value364,Web,complete,insertValue,2019-03-05T22:35:04.988+11:00,code,25,Web,complete,insertValue,2019-03-05T22:35:10.043+11:00,B6,Web,complete,clickButton,2019-03-05T22:35:19.800+11:00,Web,complete,goToUrl,2019-03-05T22:35:22.082+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:35:29.758+11:00,code,25,Web,complete,copy,2019-03-05T22:35:31.165+11:00,paste,B,name,25,Excel,1998,complete,2019-03-05T22:35:34.990+11:00,cancel,Web,complete,clickButton,2019-03-05T22:35:38.720+11:00,OK,Web
823,value1,value144,Web,complete,insertValue,2019-03-05T22:35:52.945+11:00,code,23,Web,complete,insertValue,2019-03-05T22:36:04.849+11:00,B7,Web,complete,clickButton,2019-03-05T22:36:07.858+11:00,open,Web,complete,clickButton,2019-03-05T22:36:11.406+11:00,code,23,Web,complete,copy,2019-03-05T22:36:14.082+11:00,paste,B,name,23,Excel,453,complete,2019-03-05T22:36:18.411+11:00,Web,complete,goToUrl,2019-03-05T22:36:21.721+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T22:36:30.835+11:00,,
824,value1,value1997,Web,complete,insertValue,2019-03-05T22:36:40.835+11:00,code,27,Web,complete,insertValue,2019-03-05T22:36:49.803+11:00,B7,Web,complete,clickButton,2019-03-05T22:37:02.862+11:00,Web,complete,goToUrl,2019-03-05T22:37:05.723+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:37:11.429+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:37:16.214+11:00,data123.xls,name1054,Excel,complete,findValue,TRUE,2019-03-05T22:37:19.101+11:00,Web,complete,goToUrl,2019-03-05T22:37:21.945+11:00,www.webpage.com,OK,Web,complete,clickButton
825,value1,value652,Web,complete,insertValue,2019-03-05T22:37:41.271+11:00,code,24,Web,complete,insertValue,2019-03-05T22:37:44.485+11:00,B7,Web,complete,clickButton,2019-03-05T22:37:52.638+11:00,open,Web,complete,clickButton,2019-03-05T22:37:54.854+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:37:55.846+11:00,data123.xls,code,24,Web,complete,copy,2019-03-05T22:37:57.591+11:00,paste,B,name,24,Excel,744,complete,2019-03-05T22:38:00.810+11:00,Web,complete,goToUrl,2019-03-05T22:38:04.220+11:00,www.webpage.com,OK
826,value1,value336,Web,complete,insertValue,2019-03-05T22:38:21.634+11:00,code,35,Web,complete,insertValue,2019-03-05T22:38:31.934+11:00,B6,Web,complete,clickButton,2019-03-05T22:38:46.826+11:00,Web,complete,goToUrl,2019-03-05T22:38:50.475+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:38:58.799+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:39:03.241+11:00,data123.xls,name713,Excel,complete,findValue,TRUE,2019-03-05T22:39:06.619+11:00,cancel,Web,complete,clickButton,2019-03-05T22:39:10.439+11:00,OK,Web,complete,clickButton
827,value1,value740,Web,complete,insertValue,2019-03-05T22:39:23.641+11:00,code,29,Web,complete,insertValue,2019-03-05T22:39:27.601+11:00,B7,Web,complete,clickButton,2019-03-05T22:39:42.483+11:00,Web,complete,goToUrl,2019-03-05T22:39:45.407+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:39:50.784+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:39:53.933+11:00,data123.xls,code,29,Web,complete,copy,2019-03-05T22:39:56.975+11:00,paste,B,name,29,Excel,781,complete,2019-03-05T22:39:58.834+11:00,add
828,value1,value1869,Web,complete,insertValue,2019-03-05T22:40:13.509+11:00,code,28,Web,complete,insertValue,2019-03-05T22:40:18.557+11:00,B6,Web,complete,clickButton,2019-03-05T22:40:20.738+11:00,Web,complete,goToUrl,2019-03-05T22:40:23.479+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:40:31.601+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:40:34.045+11:00,data123.xls,code,28,Web,complete,copy,2019-03-05T22:40:36.937+11:00,paste,B,name,28,Excel,45,complete,2019-03-05T22:40:39.370+11:00,cancel
829,value1,value1039,Web,complete,insertValue,2019-03-05T22:40:55.482+11:00,code,29,Web,complete,insertValue,2019-03-05T22:41:02.844+11:00,B7,Web,complete,clickButton,2019-03-05T22:41:10.704+11:00,Web,complete,goToUrl,2019-03-05T22:41:12.389+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:41:30.216+11:00,code,29,Web,complete,copy,2019-03-05T22:41:33.569+11:00,paste,B,name,29,Excel,1954,complete,2019-03-05T22:41:35.423+11:00,add,Web,complete,clickButton,2019-03-05T22:41:40.044+11:00,OK,Web
830,value1,value1694,Web,complete,insertValue,2019-03-05T22:41:50.551+11:00,code,18,Web,complete,insertValue,2019-03-05T22:41:57.667+11:00,B6,Web,complete,clickButton,2019-03-05T22:42:10.987+11:00,open,Web,complete,clickButton,2019-03-05T22:42:13.329+11:00,code,18,Web,complete,copy,2019-03-05T22:42:15.975+11:00,paste,B,name,18,Excel,1243,complete,2019-03-05T22:42:18.684+11:00,cancel,Web,complete,clickButton,2019-03-05T22:42:21.737+11:00,OK,Web,complete,clickButton,2019-03-05T22:42:23.770+11:00,,
831,value1,value1097,Web,complete,insertValue,2019-03-05T22:42:33.770+11:00,code,42,Web,complete,insertValue,2019-03-05T22:42:40.151+11:00,B7,Web,complete,clickButton,2019-03-05T22:42:49.410+11:00,open,Web,complete,clickButton,2019-03-05T22:42:51.566+11:00,code,42,Web,complete,copy,2019-03-05T22:42:54.941+11:00,paste,B,name,42,Excel,1229,complete,2019-03-05T22:42:58.440+11:00,cancel,Web,complete,clickButton,2019-03-05T22:43:00.010+11:00,OK,Web,complete,clickButton,2019-03-05T22:43:02.875+11:00,,
832,value1,value1579,Web,complete,insertValue,2019-03-05T22:43:12.875+11:00,code,21,Web,complete,insertValue,2019-03-05T22:43:23.867+11:00,B6,Web,complete,clickButton,2019-03-05T22:43:37.196+11:00,Web,complete,goToUrl,2019-03-05T22:43:39.459+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:43:55.628+11:00,code,21,Web,complete,copy,2019-03-05T22:43:56.940+11:00,paste,B,name,21,Excel,434,complete,2019-03-05T22:43:59.556+11:00,add,Web,complete,clickButton,2019-03-05T22:44:03.306+11:00,OK,Web
833,value1,value404,Web,complete,insertValue,2019-03-05T22:44:15.720+11:00,code,48,Web,complete,insertValue,2019-03-05T22:44:21.897+11:00,B6,Web,complete,clickButton,2019-03-05T22:44:31.959+11:00,Web,complete,goToUrl,2019-03-05T22:44:34.993+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:44:42.086+11:00,code,48,Web,complete,copy,2019-03-05T22:44:46.842+11:00,paste,B,name,48,Excel,766,complete,2019-03-05T22:44:48.829+11:00,Web,complete,goToUrl,2019-03-05T22:44:52.869+11:00,www.webpage.com,OK,Web
834,value1,value772,Web,complete,insertValue,2019-03-05T22:45:09.756+11:00,code,22,Web,complete,insertValue,2019-03-05T22:45:12.940+11:00,B7,Web,complete,clickButton,2019-03-05T22:45:22.748+11:00,Web,complete,goToUrl,2019-03-05T22:45:26.174+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:45:42.273+11:00,code,22,Web,complete,copy,2019-03-05T22:45:45.582+11:00,paste,B,name,22,Excel,33,complete,2019-03-05T22:45:48.683+11:00,add,Web,complete,clickButton,2019-03-05T22:45:51.352+11:00,OK,Web
835,value1,value355,Web,complete,insertValue,2019-03-05T22:46:05.001+11:00,code,28,Web,complete,insertValue,2019-03-05T22:46:14.991+11:00,B6,Web,complete,clickButton,2019-03-05T22:46:16.046+11:00,open,Web,complete,clickButton,2019-03-05T22:46:20.176+11:00,code,28,Web,complete,copy,2019-03-05T22:46:22.444+11:00,paste,B,name,28,Excel,248,complete,2019-03-05T22:46:24.033+11:00,add,Web,complete,clickButton,2019-03-05T22:46:27.849+11:00,OK,Web,complete,clickButton,2019-03-05T22:46:29.676+11:00,,
836,value1,value601,Web,complete,insertValue,2019-03-05T22:46:39.676+11:00,code,19,Web,complete,insertValue,2019-03-05T22:46:45.510+11:00,B7,Web,complete,clickButton,2019-03-05T22:46:49.672+11:00,Web,complete,goToUrl,2019-03-05T22:46:52.679+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:47:04.420+11:00,code,19,Web,complete,copy,2019-03-05T22:47:06.437+11:00,paste,B,name,19,Excel,61,complete,2019-03-05T22:47:11.464+11:00,cancel,Web,complete,clickButton,2019-03-05T22:47:14.959+11:00,OK,Web
837,value1,value113,Web,complete,insertValue,2019-03-05T22:47:28.232+11:00,code,22,Web,complete,insertValue,2019-03-05T22:47:29.595+11:00,B6,Web,complete,clickButton,2019-03-05T22:47:39.168+11:00,Web,complete,goToUrl,2019-03-05T22:47:42.580+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:47:55.363+11:00,code,22,Web,complete,copy,2019-03-05T22:47:57.209+11:00,paste,B,name,22,Excel,290,complete,2019-03-05T22:48:01.321+11:00,add,Web,complete,clickButton,2019-03-05T22:48:04.205+11:00,OK,Web
838,value1,value1861,Web,complete,insertValue,2019-03-05T22:48:16.833+11:00,code,32,Web,complete,insertValue,2019-03-05T22:48:23.884+11:00,B6,Web,complete,clickButton,2019-03-05T22:48:30.052+11:00,Web,complete,goToUrl,2019-03-05T22:48:33.483+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:48:41.948+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:48:45.162+11:00,data123.xls,code,32,Web,complete,copy,2019-03-05T22:48:48.841+11:00,paste,B,name,32,Excel,412,complete,2019-03-05T22:48:50.876+11:00,add
839,value1,value547,Web,complete,insertValue,2019-03-05T22:49:06.930+11:00,code,23,Web,complete,insertValue,2019-03-05T22:49:08.548+11:00,B6,Web,complete,clickButton,2019-03-05T22:49:14.497+11:00,Web,complete,goToUrl,2019-03-05T22:49:18.411+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:49:32.394+11:00,code,23,Web,complete,copy,2019-03-05T22:49:36.790+11:00,paste,B,name,23,Excel,1514,complete,2019-03-05T22:49:39.842+11:00,add,Web,complete,clickButton,2019-03-05T22:49:40.499+11:00,OK,Web
840,value1,value1270,Web,complete,insertValue,2019-03-05T22:49:54.319+11:00,code,27,Web,complete,insertValue,2019-03-05T22:50:07.892+11:00,B6,Web,complete,clickButton,2019-03-05T22:50:13.953+11:00,Web,complete,goToUrl,2019-03-05T22:50:16.601+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:50:17.678+11:00,code,27,Web,complete,copy,2019-03-05T22:50:19.214+11:00,paste,B,name,27,Excel,1179,complete,2019-03-05T22:50:23.397+11:00,Web,complete,goToUrl,2019-03-05T22:50:26.205+11:00,www.webpage.com,OK,Web
841,value1,value523,Web,complete,insertValue,2019-03-05T22:50:45.359+11:00,code,45,Web,complete,insertValue,2019-03-05T22:50:53.558+11:00,B7,Web,complete,clickButton,2019-03-05T22:51:09.598+11:00,open,Web,complete,clickButton,2019-03-05T22:51:11.752+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:51:13.245+11:00,data123.xls,name1202,Excel,complete,findValue,FALSE,2019-03-05T22:51:15.942+11:00,Web,complete,goToUrl,2019-03-05T22:51:17.411+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T22:51:34.125+11:00,,,,
842,value1,value547,Web,complete,insertValue,2019-03-05T22:51:44.125+11:00,code,26,Web,complete,insertValue,2019-03-05T22:51:44.125+11:00,B7,Web,complete,clickButton,2019-03-05T22:51:44.125+11:00,open,Web,complete,clickButton,2019-03-05T22:51:46.314+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:51:49.859+11:00,data123.xls,code,26,Web,complete,copy,2019-03-05T22:51:52.317+11:00,paste,B,name,26,Excel,436,complete,2019-03-05T22:51:56.080+11:00,add,Web,complete,clickButton,2019-03-05T22:51:58.600+11:00,OK
843,value1,value887,Web,complete,insertValue,2019-03-05T22:52:11.594+11:00,code,22,Web,complete,insertValue,2019-03-05T22:52:13.488+11:00,B7,Web,complete,clickButton,2019-03-05T22:52:20.223+11:00,Web,complete,goToUrl,2019-03-05T22:52:23.040+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:52:26.065+11:00,code,22,Web,complete,copy,2019-03-05T22:52:28.256+11:00,paste,B,name,22,Excel,1228,complete,2019-03-05T22:52:31.142+11:00,add,Web,complete,clickButton,2019-03-05T22:52:33.137+11:00,OK,Web
844,value1,value509,Web,complete,insertValue,2019-03-05T22:52:46.954+11:00,code,27,Web,complete,insertValue,2019-03-05T22:52:52.316+11:00,B7,Web,complete,clickButton,2019-03-05T22:52:57.556+11:00,open,Web,complete,clickButton,2019-03-05T22:53:00.414+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:53:02.266+11:00,data123.xls,name777,Excel,complete,findValue,FALSE,2019-03-05T22:53:05.297+11:00,Web,complete,goToUrl,2019-03-05T22:53:08.522+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T22:53:20.806+11:00,,,,
845,value1,value1404,Web,complete,insertValue,2019-03-05T22:53:30.806+11:00,code,27,Web,complete,insertValue,2019-03-05T22:53:37.917+11:00,B7,Web,complete,clickButton,2019-03-05T22:53:46.674+11:00,open,Web,complete,clickButton,2019-03-05T22:53:50.585+11:00,code,27,Web,complete,copy,2019-03-05T22:53:53.480+11:00,paste,B,name,27,Excel,1570,complete,2019-03-05T22:53:55.130+11:00,Web,complete,goToUrl,2019-03-05T22:53:57.699+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T22:54:16.865+11:00,,
846,value1,value1552,Web,complete,insertValue,2019-03-05T22:54:26.865+11:00,code,25,Web,complete,insertValue,2019-03-05T22:54:39.983+11:00,B6,Web,complete,clickButton,2019-03-05T22:54:45.933+11:00,Web,complete,goToUrl,2019-03-05T22:54:47.243+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:54:54.489+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:54:57.998+11:00,data123.xls,code,25,Web,complete,copy,2019-03-05T22:55:00.219+11:00,paste,B,name,25,Excel,583,complete,2019-03-05T22:55:02.836+11:00,cancel
847,value1,value919,Web,complete,insertValue,2019-03-05T22:55:19.645+11:00,code,41,Web,complete,insertValue,2019-03-05T22:55:19.645+11:00,B7,Web,complete,clickButton,2019-03-05T22:55:32.479+11:00,Web,complete,goToUrl,2019-03-05T22:55:35.009+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:55:39.062+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:55:41.546+11:00,data123.xls,name1207,Excel,complete,findValue,FALSE,2019-03-05T22:55:44.536+11:00,add,Web,complete,clickButton,2019-03-05T22:55:45.688+11:00,OK,Web,complete,clickButton
848,value1,value945,Web,complete,insertValue,2019-03-05T22:56:01.704+11:00,code,27,Web,complete,insertValue,2019-03-05T22:56:09.110+11:00,B7,Web,complete,clickButton,2019-03-05T22:56:12.130+11:00,open,Web,complete,clickButton,2019-03-05T22:56:13.423+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:56:17.201+11:00,data123.xls,name1229,Excel,complete,findValue,TRUE,2019-03-05T22:56:19.931+11:00,add,Web,complete,clickButton,2019-03-05T22:56:21.485+11:00,OK,Web,complete,clickButton,2019-03-05T22:56:24.347+11:00,,,,
849,value1,value109,Web,complete,insertValue,2019-03-05T22:56:34.347+11:00,code,29,Web,complete,insertValue,2019-03-05T22:56:34.347+11:00,B7,Web,complete,clickButton,2019-03-05T22:56:38.093+11:00,Web,complete,goToUrl,2019-03-05T22:56:42.114+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:56:43.148+11:00,code,29,Web,complete,copy,2019-03-05T22:56:43.198+11:00,paste,B,name,29,Excel,851,complete,2019-03-05T22:56:45.248+11:00,cancel,Web,complete,clickButton,2019-03-05T22:56:49.284+11:00,OK,Web
850,value1,value1555,Web,complete,insertValue,2019-03-05T22:57:01.292+11:00,code,29,Web,complete,insertValue,2019-03-05T22:57:11.330+11:00,B6,Web,complete,clickButton,2019-03-05T22:57:21.073+11:00,Web,complete,goToUrl,2019-03-05T22:57:24.318+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:57:41.397+11:00,code,29,Web,complete,copy,2019-03-05T22:57:45.410+11:00,paste,B,name,29,Excel,1257,complete,2019-03-05T22:57:47.018+11:00,add,Web,complete,clickButton,2019-03-05T22:57:49.372+11:00,OK,Web
851,value1,value1801,Web,complete,insertValue,2019-03-05T22:58:01.464+11:00,code,21,Web,complete,insertValue,2019-03-05T22:58:14.416+11:00,B6,Web,complete,clickButton,2019-03-05T22:58:23.308+11:00,open,Web,complete,clickButton,2019-03-05T22:58:27.489+11:00,code,21,Web,complete,copy,2019-03-05T22:58:31.320+11:00,paste,B,name,21,Excel,1749,complete,2019-03-05T22:58:33.687+11:00,Web,complete,goToUrl,2019-03-05T22:58:36.368+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T22:58:39.218+11:00,,
852,value1,value1871,Web,complete,insertValue,2019-03-05T22:58:49.218+11:00,code,26,Web,complete,insertValue,2019-03-05T22:58:52.133+11:00,B6,Web,complete,clickButton,2019-03-05T22:59:02.949+11:00,open,Web,complete,clickButton,2019-03-05T22:59:05.806+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:59:07.884+11:00,data123.xls,code,26,Web,complete,copy,2019-03-05T22:59:13.428+11:00,paste,B,name,26,Excel,226,complete,2019-03-05T22:59:16.876+11:00,Web,complete,goToUrl,2019-03-05T22:59:19.263+11:00,www.webpage.com,OK
853,value1,value182,Web,complete,insertValue,2019-03-05T22:59:44.954+11:00,code,23,Web,complete,insertValue,2019-03-05T22:59:45.356+11:00,B7,Web,complete,clickButton,2019-03-05T22:59:53.061+11:00,open,Web,complete,clickButton,2019-03-05T22:59:55.553+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:59:58.234+11:00,data123.xls,code,23,Web,complete,copy,2019-03-05T23:00:01.166+11:00,paste,B,name,23,Excel,1133,complete,2019-03-05T23:00:04.057+11:00,cancel,Web,complete,clickButton,2019-03-05T23:00:06.324+11:00,OK
854,value1,value1021,Web,complete,insertValue,2019-03-05T23:00:19.120+11:00,code,32,Web,complete,insertValue,2019-03-05T23:00:23.488+11:00,B7,Web,complete,clickButton,2019-03-05T23:00:28.288+11:00,Web,complete,goToUrl,2019-03-05T23:00:30.240+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T23:00:38.804+11:00,code,32,Web,complete,copy,2019-03-05T23:00:41.480+11:00,paste,B,name,32,Excel,317,complete,2019-03-05T23:00:44.231+11:00,add,Web,complete,clickButton,2019-03-05T23:00:48.075+11:00,OK,Web
855,value1,value1282,Web,complete,insertValue,2019-03-05T23:01:00.657+11:00,code,26,Web,complete,insertValue,2019-03-05T23:01:08.779+11:00,B6,Web,complete,clickButton,2019-03-05T23:01:16.075+11:00,open,Web,complete,clickButton,2019-03-05T23:01:18.681+11:00,code,26,Web,complete,copy,2019-03-05T23:01:20.998+11:00,paste,B,name,26,Excel,1603,complete,2019-03-05T23:01:25.104+11:00,add,Web,complete,clickButton,2019-03-05T23:01:28.353+11:00,OK,Web,complete,clickButton,2019-03-05T23:01:31.175+11:00,,
