Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66
1625,name,name88,Web,complete,insertValue,2019-03-09T01:28:03.538+11:00,surname,surname88,Web,complete,insertValue,2019-03-09T01:28:13.948+11:00,age,age26,Web,complete,insertValue,2019-03-09T01:28:23.199+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:28:25.047+11:00,confirm,Web,complete,clickButton,2019-03-09T01:28:34.743+11:00,B5,Web,complete,clickButton,2019-03-09T01:28:37.005+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-09T01:28:40.007+11:00,Button6,Web,complete,clickButton,2019-03-09T01:28:40.007+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:28:43.620+11:00,data.xls,copy,B,value110,Excel,92,complete,2019-03-09T01:28:44.235+11:00,Special code,value110,Web,complete,paste,2019-03-09T01:28:47.702+11:00,Country
1626,name,name412,Web,complete,insertValue,2019-03-09T01:29:15.199+11:00,surname,surname412,Web,complete,insertValue,2019-03-09T01:29:33.497+11:00,age,age25,Web,complete,insertValue,2019-03-09T01:29:43.351+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:29:54.108+11:00,confirm,Web,complete,clickButton,2019-03-09T01:30:03.190+11:00,B5,Web,complete,clickButton,2019-03-09T01:30:07.392+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-09T01:30:10.003+11:00,Button6,Web,complete,clickButton,2019-03-09T01:30:18.291+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:30:21.285+11:00,data.xls,copy,B,value636,Excel,18,complete,2019-03-09T01:30:36.596+11:00,Special code,value636,Web,complete,paste,2019-03-09T01:30:39.827+11:00,Country
1627,name,name28,Web,complete,insertValue,2019-03-09T01:31:12.229+11:00,surname,surname28,Web,complete,insertValue,2019-03-09T01:31:32.214+11:00,age,age20,Web,complete,insertValue,2019-03-09T01:31:40.720+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:31:49.631+11:00,confirm,Web,complete,clickButton,2019-03-09T01:31:56.691+11:00,B5,Web,complete,clickButton,2019-03-09T01:31:59.011+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-09T01:32:00.361+11:00,Button6,Web,complete,clickButton,2019-03-09T01:32:19.118+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:32:20.834+11:00,data.xls,copy,B,value153,Excel,21,complete,2019-03-09T01:32:26.311+11:00,Special code,value153,Web,complete,paste,2019-03-09T01:32:29.786+11:00,Country
1628,name,name2602,Web,complete,insertValue,2019-03-09T01:32:56.741+11:00,surname,surname2602,Web,complete,insertValue,2019-03-09T01:33:04.002+11:00,age,age41,Web,complete,insertValue,2019-03-09T01:33:04.002+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:33:11.952+11:00,confirm,Web,complete,clickButton,2019-03-09T01:33:11.952+11:00,B5,Web,complete,clickButton,2019-03-09T01:33:16.004+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-09T01:33:19.662+11:00,Button6,Web,complete,clickButton,2019-03-09T01:33:20.986+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:33:22.941+11:00,data.xls,copy,B,value94,Excel,91,complete,2019-03-09T01:33:28.874+11:00,Special code,value94,Web,complete,paste,2019-03-09T01:33:31.166+11:00,Country
1629,name,name306,Web,complete,insertValue,2019-03-09T01:33:57.489+11:00,surname,surname306,Web,complete,insertValue,2019-03-09T01:34:03.823+11:00,age,age32,Web,complete,insertValue,2019-03-09T01:34:06.914+11:00,T1,type,Web,complete,insertValue,2019-03-09T01:34:12.724+11:00,confirm,Web,complete,clickButton,2019-03-09T01:34:20.949+11:00,B1,Web,complete,clickButton,2019-03-09T01:34:24.298+11:00,name,name306,Web,complete,copy,2019-03-09T01:34:26.809+11:00,paste,B,name,name306,Excel,1,complete,2019-03-09T01:34:30.417+11:00,surname,surname306,Web,complete,copy,2019-03-09T01:34:34.778+11:00,paste,B,surname,surname306,Excel,1,complete,2019-03-09T01:34:39.093+11:00,add,Web,complete
1630,name,name219,Web,complete,insertValue,2019-03-09T01:35:00.561+11:00,surname,surname219,Web,complete,insertValue,2019-03-09T01:35:08.463+11:00,age,age22,Web,complete,insertValue,2019-03-09T01:35:17.965+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:35:33.767+11:00,confirm,Web,complete,clickButton,2019-03-09T01:35:48.733+11:00,B5,Web,complete,clickButton,2019-03-09T01:35:53.425+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-09T01:35:53.425+11:00,Button6,Web,complete,clickButton,2019-03-09T01:35:58.739+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:36:02.576+11:00,data.xls,copy,B,value212,Excel,60,complete,2019-03-09T01:36:12.769+11:00,Special code,value212,Web,complete,paste,2019-03-09T01:36:16.034+11:00,Country
1631,name,name860,Web,complete,insertValue,2019-03-09T01:36:40.838+11:00,surname,surname860,Web,complete,insertValue,2019-03-09T01:36:48.215+11:00,age,age20,Web,complete,insertValue,2019-03-09T01:36:54.162+11:00,T2,type,Web,complete,insertValue,2019-03-09T01:37:04.890+11:00,confirm,Web,complete,clickButton,2019-03-09T01:37:13.830+11:00,B3,Web,complete,clickButton,2019-03-09T01:37:15.995+11:00,Button6,Web,complete,clickButton,2019-03-09T01:37:19.105+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:37:21.893+11:00,data.xls,copy,A,value175,Excel,96,complete,2019-03-09T01:37:27.608+11:00,Special code,value175,Web,complete,paste,2019-03-09T01:37:31.707+11:00,OK,Web,complete,clickButton,2019-03-09T01:37:35.664+11:00,,
1632,name,name2026,Web,complete,insertValue,2019-03-09T01:37:45.664+11:00,surname,surname2026,Web,complete,insertValue,2019-03-09T01:37:52.812+11:00,age,age27,Web,complete,insertValue,2019-03-09T01:38:05.913+11:00,T2,type,Web,complete,insertValue,2019-03-09T01:38:22.307+11:00,confirm,Web,complete,clickButton,2019-03-09T01:38:26.399+11:00,B3,Web,complete,clickButton,2019-03-09T01:38:29.944+11:00,Button6,Web,complete,clickButton,2019-03-09T01:38:31.678+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:38:36.362+11:00,data.xls,copy,A,value694,Excel,23,complete,2019-03-09T01:38:37.904+11:00,Special code,value694,Web,complete,paste,2019-03-09T01:38:39.998+11:00,OK,Web,complete,clickButton,2019-03-09T01:38:43.194+11:00,,
1633,name,name576,Web,complete,insertValue,2019-03-09T01:38:53.194+11:00,surname,surname576,Web,complete,insertValue,2019-03-09T01:39:02.918+11:00,age,age25,Web,complete,insertValue,2019-03-09T01:39:21.450+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:39:30.043+11:00,confirm,Web,complete,clickButton,2019-03-09T01:39:36.438+11:00,B5,Web,complete,clickButton,2019-03-09T01:39:39.015+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-09T01:39:41.069+11:00,Button6,Web,complete,clickButton,2019-03-09T01:39:50.571+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:39:53.406+11:00,data.xls,copy,B,value656,Excel,74,complete,2019-03-09T01:40:03.931+11:00,Special code,value656,Web,complete,paste,2019-03-09T01:40:06.837+11:00,Country
1634,name,name3373,Web,complete,insertValue,2019-03-09T01:40:33.890+11:00,surname,surname3373,Web,complete,insertValue,2019-03-09T01:40:49.650+11:00,age,age40,Web,complete,insertValue,2019-03-09T01:40:58.709+11:00,T3,type,Web,complete,insertValue,2019-03-09T01:41:18.337+11:00,confirm,Web,complete,clickButton,2019-03-09T01:41:30.157+11:00,B4,Web,complete,clickButton,2019-03-09T01:41:32.848+11:00,Clients,Web,complete,clickButton,2019-03-09T01:41:36.390+11:00,clientID,ID3373,Web,complete,insertValue,2019-03-09T01:41:39.634+11:00,Web,complete,pressKey,2019-03-09T01:41:45.258+11:00,enter,update,ID3373,Web,complete,clickButton,2019-03-09T01:41:47.319+11:00,address,addA81addB1172,Web,complete,insertValue,2019-03-09T01:41:50.378+11:00,Australia,country,Web
1635,name,name304,Web,complete,insertValue,2019-03-09T01:42:41.464+11:00,surname,surname304,Web,complete,insertValue,2019-03-09T01:42:45.191+11:00,age,age21,Web,complete,insertValue,2019-03-09T01:42:53.041+11:00,T1,type,Web,complete,insertValue,2019-03-09T01:42:59.397+11:00,confirm,Web,complete,clickButton,2019-03-09T01:43:03.687+11:00,B1,Web,complete,clickButton,2019-03-09T01:43:07.410+11:00,name,name304,Web,complete,copy,2019-03-09T01:43:09.018+11:00,paste,B,name,name304,Excel,1,complete,2019-03-09T01:43:12.126+11:00,surname,surname304,Web,complete,copy,2019-03-09T01:43:14.617+11:00,paste,B,surname,surname304,Excel,1,complete,2019-03-09T01:43:18.346+11:00,add,Web,complete
1636,name,name1128,Web,complete,insertValue,2019-03-09T01:43:37.581+11:00,surname,surname1128,Web,complete,insertValue,2019-03-09T01:43:50.483+11:00,age,age28,Web,complete,insertValue,2019-03-09T01:44:00.689+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:44:11.438+11:00,confirm,Web,complete,clickButton,2019-03-09T01:44:19.591+11:00,B5,Web,complete,clickButton,2019-03-09T01:44:23.431+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-09T01:44:25.536+11:00,Button6,Web,complete,clickButton,2019-03-09T01:44:36.903+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:44:40.408+11:00,data.xls,copy,B,value391,Excel,51,complete,2019-03-09T01:44:45.543+11:00,Special code,value391,Web,complete,paste,2019-03-09T01:44:49.703+11:00,Country
1637,name,name1187,Web,complete,insertValue,2019-03-09T01:45:11.918+11:00,surname,surname1187,Web,complete,insertValue,2019-03-09T01:45:23.497+11:00,age,age31,Web,complete,insertValue,2019-03-09T01:45:23.497+11:00,T3,type,Web,complete,insertValue,2019-03-09T01:45:33.013+11:00,confirm,Web,complete,clickButton,2019-03-09T01:45:42.394+11:00,B4,Web,complete,clickButton,2019-03-09T01:45:45.358+11:00,Clients,Web,complete,clickButton,2019-03-09T01:45:47.758+11:00,clientID,ID1187,Web,complete,insertValue,2019-03-09T01:45:48.244+11:00,Web,complete,pressKey,2019-03-09T01:45:55.528+11:00,enter,update,ID1187,Web,complete,clickButton,2019-03-09T01:45:58.553+11:00,address,addA3586addB2626,Web,complete,insertValue,2019-03-09T01:46:02.057+11:00,Australia,country,Web
1638,name,name719,Web,complete,insertValue,2019-03-09T01:47:07.550+11:00,surname,surname719,Web,complete,insertValue,2019-03-09T01:47:19.941+11:00,age,age29,Web,complete,insertValue,2019-03-09T01:47:26.797+11:00,T1,type,Web,complete,insertValue,2019-03-09T01:47:37.237+11:00,confirm,Web,complete,clickButton,2019-03-09T01:47:45.190+11:00,B1,Web,complete,clickButton,2019-03-09T01:47:48.348+11:00,name,name719,Web,complete,copy,2019-03-09T01:47:52.004+11:00,paste,B,name,name719,Excel,1,complete,2019-03-09T01:47:54.959+11:00,surname,surname719,Web,complete,copy,2019-03-09T01:47:59.068+11:00,paste,B,surname,surname719,Excel,1,complete,2019-03-09T01:48:03.160+11:00,add,Web,complete
1639,name,name236,Web,complete,insertValue,2019-03-09T01:48:20.110+11:00,surname,surname236,Web,complete,insertValue,2019-03-09T01:48:22.840+11:00,age,age32,Web,complete,insertValue,2019-03-09T01:48:26.795+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:48:30.524+11:00,confirm,Web,complete,clickButton,2019-03-09T01:48:35.141+11:00,B5,Web,complete,clickButton,2019-03-09T01:48:36.515+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-09T01:48:39.173+11:00,Button6,Web,complete,clickButton,2019-03-09T01:48:42.330+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:48:46.306+11:00,data.xls,copy,B,value771,Excel,97,complete,2019-03-09T01:48:53.385+11:00,Special code,value771,Web,complete,paste,2019-03-09T01:48:55.617+11:00,Country
1640,name,name3578,Web,complete,insertValue,2019-03-09T01:49:26.356+11:00,surname,surname3578,Web,complete,insertValue,2019-03-09T01:49:33.656+11:00,age,age20,Web,complete,insertValue,2019-03-09T01:49:42.896+11:00,T3,type,Web,complete,insertValue,2019-03-09T01:49:55.785+11:00,confirm,Web,complete,clickButton,2019-03-09T01:50:14.737+11:00,B4,Web,complete,clickButton,2019-03-09T01:50:16.665+11:00,Clients,Web,complete,clickButton,2019-03-09T01:50:19.593+11:00,clientID,ID3578,Web,complete,insertValue,2019-03-09T01:50:22.842+11:00,Web,complete,pressKey,2019-03-09T01:50:31.913+11:00,enter,update,ID3578,Web,complete,clickButton,2019-03-09T01:50:36.870+11:00,address,addA1132addB626,Web,complete,insertValue,2019-03-09T01:50:37.929+11:00,Country131,country,Web
1641,name,name1540,Web,complete,insertValue,2019-03-09T01:51:10.706+11:00,surname,surname1540,Web,complete,insertValue,2019-03-09T01:51:20.782+11:00,age,age22,Web,complete,insertValue,2019-03-09T01:51:29.618+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:51:34.698+11:00,confirm,Web,complete,clickButton,2019-03-09T01:51:40.266+11:00,B5,Web,complete,clickButton,2019-03-09T01:51:42.740+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-09T01:51:43.748+11:00,Button6,Web,complete,clickButton,2019-03-09T01:51:48.415+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:51:50.301+11:00,data.xls,copy,B,value588,Excel,88,complete,2019-03-09T01:51:53.664+11:00,Special code,value588,Web,complete,paste,2019-03-09T01:51:56.874+11:00,Country
1642,name,name104,Web,complete,insertValue,2019-03-09T01:52:20.321+11:00,surname,surname104,Web,complete,insertValue,2019-03-09T01:52:26.976+11:00,age,age25,Web,complete,insertValue,2019-03-09T01:52:33.097+11:00,T2,type,Web,complete,insertValue,2019-03-09T01:52:42.867+11:00,confirm,Web,complete,clickButton,2019-03-09T01:52:55.332+11:00,B3,Web,complete,clickButton,2019-03-09T01:52:58.987+11:00,Button6,Web,complete,clickButton,2019-03-09T01:53:00.123+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:53:03.825+11:00,data.xls,copy,A,value632,Excel,95,complete,2019-03-09T01:53:18.461+11:00,Special code,value632,Web,complete,paste,2019-03-09T01:53:21.685+11:00,OK,Web,complete,clickButton,2019-03-09T01:53:26.021+11:00,,
1643,name,name2566,Web,complete,insertValue,2019-03-09T01:53:36.021+11:00,surname,surname2566,Web,complete,insertValue,2019-03-09T01:53:51.278+11:00,age,age35,Web,complete,insertValue,2019-03-09T01:53:57.197+11:00,T1,type,Web,complete,insertValue,2019-03-09T01:54:04.596+11:00,confirm,Web,complete,clickButton,2019-03-09T01:54:10.891+11:00,B1,Web,complete,clickButton,2019-03-09T01:54:14.284+11:00,name,name2566,Web,complete,copy,2019-03-09T01:54:16.384+11:00,paste,B,name,name2566,Excel,1,complete,2019-03-09T01:54:17.695+11:00,surname,surname2566,Web,complete,copy,2019-03-09T01:54:21.468+11:00,paste,B,surname,surname2566,Excel,1,complete,2019-03-09T01:54:23.971+11:00,add,Web,complete
1644,name,name3986,Web,complete,insertValue,2019-03-09T01:54:43.236+11:00,surname,surname3986,Web,complete,insertValue,2019-03-09T01:54:57.492+11:00,age,age36,Web,complete,insertValue,2019-03-09T01:55:14.184+11:00,T2,type,Web,complete,insertValue,2019-03-09T01:55:27.377+11:00,confirm,Web,complete,clickButton,2019-03-09T01:55:42.365+11:00,B2,Web,complete,clickButton,2019-03-09T01:55:45.811+11:00,value1,value3735,Web,complete,insertValue,2019-03-09T01:55:50.420+11:00,code,23,Web,complete,insertValue,2019-03-09T01:55:50.420+11:00,B6,Web,complete,clickButton,2019-03-09T01:55:55.892+11:00,open,Web,complete,clickButton,2019-03-09T01:55:59.158+11:00,code,23,Web,complete,copy,2019-03-09T01:56:02.601+11:00,paste,B,name
1645,name,name2192,Web,complete,insertValue,2019-03-09T01:56:33.815+11:00,surname,surname2192,Web,complete,insertValue,2019-03-09T01:56:46.329+11:00,age,age25,Web,complete,insertValue,2019-03-09T01:56:52.805+11:00,T3,type,Web,complete,insertValue,2019-03-09T01:57:03.692+11:00,confirm,Web,complete,clickButton,2019-03-09T01:57:16.419+11:00,B4,Web,complete,clickButton,2019-03-09T01:57:19.189+11:00,Clients,Web,complete,clickButton,2019-03-09T01:57:22.199+11:00,clientID,ID2192,Web,complete,insertValue,2019-03-09T01:57:25.201+11:00,Web,complete,pressKey,2019-03-09T01:57:31.302+11:00,enter,update,ID2192,Web,complete,clickButton,2019-03-09T01:57:33.332+11:00,address,addA1556addB1214,Web,complete,insertValue,2019-03-09T01:57:37.726+11:00,Australia,country,Web
1646,name,name2270,Web,complete,insertValue,2019-03-09T01:58:21.351+11:00,surname,surname2270,Web,complete,insertValue,2019-03-09T01:58:33.598+11:00,age,age20,Web,complete,insertValue,2019-03-09T01:58:33.598+11:00,T1,type,Web,complete,insertValue,2019-03-09T01:58:42.877+11:00,confirm,Web,complete,clickButton,2019-03-09T01:58:47.124+11:00,B1,Web,complete,clickButton,2019-03-09T01:58:51.336+11:00,name,name2270,Web,complete,copy,2019-03-09T01:58:54.462+11:00,paste,B,name,name2270,Excel,1,complete,2019-03-09T01:58:58.940+11:00,surname,surname2270,Web,complete,copy,2019-03-09T01:59:02.544+11:00,paste,B,surname,surname2270,Excel,1,complete,2019-03-09T01:59:04.596+11:00,add,Web,complete
1647,name,name2457,Web,complete,insertValue,2019-03-09T01:59:23.827+11:00,surname,surname2457,Web,complete,insertValue,2019-03-09T01:59:29.581+11:00,age,age24,Web,complete,insertValue,2019-03-09T01:59:35.746+11:00,T1,type,Web,complete,insertValue,2019-03-09T01:59:44.952+11:00,confirm,Web,complete,clickButton,2019-03-09T01:59:51.487+11:00,B1,Web,complete,clickButton,2019-03-09T01:59:55.039+11:00,name,name2457,Web,complete,copy,2019-03-09T01:59:57.080+11:00,paste,B,name,name2457,Excel,1,complete,2019-03-09T02:00:00.440+11:00,surname,surname2457,Web,complete,copy,2019-03-09T02:00:04.607+11:00,paste,B,surname,surname2457,Excel,1,complete,2019-03-09T02:00:08.133+11:00,add,Web,complete
1648,name,name2060,Web,complete,insertValue,2019-03-09T02:00:25.190+11:00,surname,surname2060,Web,complete,insertValue,2019-03-09T02:00:32.928+11:00,age,age47,Web,complete,insertValue,2019-03-09T02:00:38.334+11:00,T2,type,Web,complete,insertValue,2019-03-09T02:00:58.936+11:00,confirm,Web,complete,clickButton,2019-03-09T02:01:01.638+11:00,B2,Web,complete,clickButton,2019-03-09T02:01:04.954+11:00,value1,value10,Web,complete,insertValue,2019-03-09T02:01:07.858+11:00,code,29,Web,complete,insertValue,2019-03-09T02:01:19.068+11:00,B6,Web,complete,clickButton,2019-03-09T02:01:19.281+11:00,open,Web,complete,clickButton,2019-03-09T02:01:20.395+11:00,code,29,Web,complete,copy,2019-03-09T02:01:24.411+11:00,paste,B,name
1649,name,name3096,Web,complete,insertValue,2019-03-09T02:01:54.937+11:00,surname,surname3096,Web,complete,insertValue,2019-03-09T02:02:01.129+11:00,age,age29,Web,complete,insertValue,2019-03-09T02:02:03.540+11:00,T1,type,Web,complete,insertValue,2019-03-09T02:02:03.540+11:00,confirm,Web,complete,clickButton,2019-03-09T02:02:11.744+11:00,B1,Web,complete,clickButton,2019-03-09T02:02:16.108+11:00,name,name3096,Web,complete,copy,2019-03-09T02:02:18.902+11:00,paste,B,name,name3096,Excel,1,complete,2019-03-09T02:02:21.445+11:00,surname,surname3096,Web,complete,copy,2019-03-09T02:02:23.299+11:00,paste,B,surname,surname3096,Excel,1,complete,2019-03-09T02:02:26.890+11:00,add,Web,complete
1650,name,name2625,Web,complete,insertValue,2019-03-09T02:02:47.884+11:00,surname,surname2625,Web,complete,insertValue,2019-03-09T02:03:04.599+11:00,age,age19,Web,complete,insertValue,2019-03-09T02:03:07.300+11:00,T4,type,Web,complete,insertValue,2019-03-09T02:03:07.300+11:00,confirm,Web,complete,clickButton,2019-03-09T02:03:11.460+11:00,B5,Web,complete,clickButton,2019-03-09T02:03:13.918+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-09T02:03:17.244+11:00,Button6,Web,complete,clickButton,2019-03-09T02:03:24.828+11:00,Excel,complete,openFile,Sheet1,2019-03-09T02:03:26.928+11:00,data.xls,copy,B,value126,Excel,7,complete,2019-03-09T02:03:29.871+11:00,Special code,value126,Web,complete,paste,2019-03-09T02:03:32.864+11:00,Country
1651,name,name2319,Web,complete,insertValue,2019-03-09T02:04:03.545+11:00,surname,surname2319,Web,complete,insertValue,2019-03-09T02:04:06.046+11:00,age,age22,Web,complete,insertValue,2019-03-09T02:04:11.081+11:00,T1,type,Web,complete,insertValue,2019-03-09T02:04:24.972+11:00,confirm,Web,complete,clickButton,2019-03-09T02:04:31.379+11:00,B1,Web,complete,clickButton,2019-03-09T02:04:34.555+11:00,name,name2319,Web,complete,copy,2019-03-09T02:04:38.590+11:00,paste,B,name,name2319,Excel,1,complete,2019-03-09T02:04:42.065+11:00,surname,surname2319,Web,complete,copy,2019-03-09T02:04:45.308+11:00,paste,B,surname,surname2319,Excel,1,complete,2019-03-09T02:04:47.071+11:00,add,Web,complete
1652,name,name1639,Web,complete,insertValue,2019-03-09T02:05:07.109+11:00,surname,surname1639,Web,complete,insertValue,2019-03-09T02:05:07.109+11:00,age,age25,Web,complete,insertValue,2019-03-09T02:05:14.349+11:00,T4,type,Web,complete,insertValue,2019-03-09T02:05:19.225+11:00,confirm,Web,complete,clickButton,2019-03-09T02:05:24.230+11:00,B5,Web,complete,clickButton,2019-03-09T02:05:26.877+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-09T02:05:28.022+11:00,Button6,Web,complete,clickButton,2019-03-09T02:05:37.775+11:00,Excel,complete,openFile,Sheet1,2019-03-09T02:05:41.213+11:00,data.xls,copy,B,value100,Excel,64,complete,2019-03-09T02:05:56.906+11:00,Special code,value100,Web,complete,paste,2019-03-09T02:05:58.842+11:00,Country
